Author_id,Isbn
1938,0061030147
9859,0140250964
2124,0446527165
2632,0671461494
7108,0385337639
10714,039575514X
7926,0451206673
3959,0330332775
4545,0486284735
3330,0671021745
3330,0671047612
0,0671504282
6300,0399138684
0,0785263292
3802,0830714014
0,0345354931
8607,0553278223
3378,3150000335
8607,3257203659
8619,3257207522
8607,3257208626
8607,3257208634
8607,3257208669
8607,3257210450
8607,3257212054
8607,3257212429
8607,3257214154
8607,3257216416
8239,3257233051
3405,342311360X
3213,3423116714
658,3423241489
5919,3426605686
9902,3453212150
8667,3462021095
7400,3492045642
5333,3498020862
4243,3499110695
0,3499151502
4443,3518111000
5014,3548254268
0,3570300099
7520,3596292646
725,0060977493
9012,0312872682
4476,0316602906
4476,0316693006
8774,0345311396
7317,0345378490
8774,0345404793
6481,0345433173
701,0375400117
5894,0375705856
8057,0380717018
8059,0380718332
1376,0380754509
5758,038076654X
5758,0380807866
885,0385316895
5175,0385497466
5175,0385508042
6941,0385509456
5175,0385511612
482,0385730586
3111,0425164403
2895,0440234964
4476,0446605484
7792,0446610399
5271,0449006522
6481,0449911004
9767,0451162072
9824,0451186648
10412,0452282152
5483,051513290X
7408,0553580388
0,0590598848
7880,0590629719
8055,0671023616
2001,0671027387
3318,0684848783
2001,0743486226
6678,0786863986
6810,0803251718
573,0804117934
0,140003180X
4294,155874262X
3761,0060987103
10877,0151008116
9249,0375704965
117,0525947647
2569,0804111359
4294,1558744150
5231,0435272683
475,0316782505
10166,006102063X
10166,0060013117
10166,0060199563
2703,006052779X
4254,0060563079
7123,0060809027
10166,0061040967
10166,0061050474
10166,0061052515
10166,0061052523
0,0064472264
4545,0140620664
5880,0312148267
917,0312156960
1539,0312890044
6460,034543191X
3579,0373836023
7940,0375751513
10117,0375801677
8854,0375814248
0,0375823352
0,037582345X
0,0375823468
0,0380730448
8607,0380973839
2556,0385327773
37,0394586239
10095,0439510112
9642,0440241413
4217,0451409256
6507,0451523415
4545,0451526279
3550,0451526341
1540,0486415864
4213,0553280589
813,0571197639
2977,0670035262
1540,0679423079
37,0679751343
5388,0684833395
5162,0743245024
3066,0749748001
3066,0749748028
7751,0963094424
144,1401201172
7751,1563892278
0,1563898586
7751,156971620X
10433,1592571301
10370,0374270325
1146,0375719180
4064,0440235502
5175,044023722X
8243,1573225487
10232,1853260673
9439,0060977477
5634,0345391691
7063,0520011171
2129,0553278746
10058,0670856045
8478,0872200760
6585,0937858994
9777,0671649949
4220,0590431110
7989,0064470113
6566,0553571486
1181,0972044205
5128,0312963009
7033,0345430476
2152,0345435869
8195,0380728729
2162,038081840X
2099,0449912302
5253,055329198X
10197,0671018930
3317,0812541642
7094,0312988699
7133,0486282112
9037,0670815373
8878,0385313748
8841,1575843366
8055,0684193957
2632,0345371984
24,0380730138
9397,1573228737
553,9681500555
854,0380711109
0,0452283914
10338,0425120279
390,067153484X
7767,0380728273
6769,0446606197
2787,0771076002
7636,0771088191
5185,1559703237
10756,3596214629
3879,0062770500
6533,0671847546
506,0060188731
8854,0140374248
9901,0142001740
1105,0195086295
2001,0312995423
1862,0380704587
5022,0380815923
5175,0385416342
10220,0385418493
5175,038542471X
7353,0425098109
4589,0449005410
2457,0449202631
2457,0449207544
0,0515128554
2632,0517577402
4707,0590450875
4707,0590481371
794,067103619X
7963,0684177730
718,0684180200
794,0743411269
1757,0743470389
8678,076218857X
4971,0767905938
10490,0800706544
10656,0801096677
7200,0849953014
6058,0891091963
855,0915811537
1103,0927545373
3364,1575024179
0,1880185008
10814,0140345809
630,0156528207
8703,0380012863
5912,0451154916
7464,0785815147
0,0875421288
0,1567184294
8813,156718796X
920,1862047626
8033,0020437501
10812,0198320264
7253,0373196989
1642,0373245580
6276,0451527747
7089,0671867113
6967,0812504208
8647,0060173289
7072,0060973897
9439,006101351X
6340,0140104682
3241,0312143370
261,0316666343
9648,039456894X
10233,0440224675
2825,0449002632
6749,0449213773
2601,0452279690
6749,0553569058
7210,0679427430
2776,0679725393
7064,0802114369
5161,0803233019
9117,0819154946
0,0897322339
4464,0940322978
2965,1573225126
1013,1579651658
2502,1878424319
8182,0600586898
6230,1853260622
9610,1857938011
8862,0060804157
6713,0140382658
9712,0152012966
9334,0312283784
0,0345297709
0,0345313097
568,0345335465
2166,0345416848
6115,0385333404
5175,044021145X
6781,0449212084
0,0553582682
8216,0590947257
8697,074345829X
1437,0786913878
0,0801491827
1311,0816729913
0,0843136685
516,0866119531
1540,0866119566
2557,0870441663
7142,1561561428
7733,0553210092
568,0553258524
9037,0688163726
10476,1569471096
6535,055358099X
261,0316168815
10060,014023828X
2981,0316314927
5185,0345424719
10293,0375414746
8794,0375726403
6749,0385503857
5431,0425156842
535,0440226104
2438,0452277337
2286,0553802488
10609,0671021001
82,0767903579
797,0805063897
0,0679777431
5204,0553285343
9618,0486285529
7926,0671002481
3036,0812523385
3920,0895774666
5386,0020199090
5379,0385495145
6482,0679733825
10298,0842329129
61,0345451260
5410,0740700235
10118,0380973545
3296,0393321576
9767,0743424425
2990,0786868015
9583,0446610178
1750,0684854953
7089,0743229878
8971,0380617625
10289,0380732335
5029,0385337132
3010,0440235057
3010,0445402040
6591,0618119760
5200,0871138646
2850,0026329859
10279,0060621257
813,0060915544
813,0060917016
10543,0060925000
4213,0060932759
10390,0061000280
2922,0192815318
471,0312195516
6129,0380792664
3595,0393048977
6300,0399137807
8055,039914739X
6658,0451203046
6995,0451410556
4001,0451523318
9389,0486281965
10735,0486292940
8682,051762639X
2776,0684824442
3898,0743458303
7519,081296666X
10019,0819215635
0,0880011025
0,1561011525
9045,1877727083
3846,0486206173
3057,0312278586
8175,0140370900
6932,0674511255
9760,0030096189
6063,0312965745
2255,0345374657
0,0395710901
8224,080521061X
2205,0823032612
1059,0679310002
79,0312288115
4796,0316171107
8060,0380710218
1461,0515118656
0,0553289063
1835,0671000306
7089,0671673688
5244,1561672033
1328,0425178242
5346,0618173870
10877,0156027321
3283,0375403582
5540,0385721420
10105,0451202341
4826,0743418190
2067,0385335407
6233,0965746828
9224,0060923245
9321,0486272664
1142,0786015276
1108,0060913509
7868,0553272837
5664,0440225078
3056,0312145543
2286,0425181111
3215,0380732688
4358,0140286276
7868,0373484100
4589,0449907481
2445,0553107305
1306,080213825X
7868,0515127833
5984,0345441133
7393,0515134279
306,0945586051
5175,0385490992
5175,0385424728
10697,0312980388
7512,0590419625
5175,0385472951
7432,0451195663
0,0425182878
10089,0553564528
10089,055356451X
7089,0743412621
10116,0849943728
453,0849943450
10116,084994371X
0,0590406019
1266,0020442408
10702,0553225987
9056,042517736X
512,0671868713
2710,038549825X
6338,0553202294
0,0345313860
576,0345369947
5497,067170124X
6863,0345353625
10663,0308102282
680,006017143X
5575,0805056491
8361,0679401377
0,1562827049
2067,0385306032
834,0816152446
6397,0821772953
9486,0345379454
5822,0553576925
7089,0743206053
1841,0688169678
9458,0439319552
4872,0590870157
5607,0307001164
8096,0440441501
998,0590687301
5615,0439061644
4593,0439569842
3684,0307118703
7051,0590418858
1914,030720152X
3797,0816728739
1110,0865050880
7268,0812519655
7268,0812524853
2610,0449211770
7623,193072229X
7268,0812521129
1736,0345251733
1545,1400077826
5548,0312995431
5548,0312312628
3206,0446394521
6091,0590021117
3318,068484267X
6391,0553578693
998,0380709260
0,0807565288
5548,0312986769
0,0345413377
0,0345413369
0,0679893105
6603,0061096091
0,0345369068
9486,0451184718
2610,0449209121
3096,0060938455
0,080411952X
0,0060575808
3418,0060558865
3275,0767912918
9925,0553298860
2245,0385335679
6658,0440122090
5487,0671525832
8607,0553279572
4604,0061009059
10047,0060930187
4157,0516076272
8774,0679450432
3225,0821775863
3225,0821770209
956,0670855758
1232,0553562819
4476,0446364193
9372,0446519138
248,0425179672
6409,0061042943
9650,0399144463
4142,0965404560
2155,006015781X
8706,0060930705
5805,0312206763
4395,0316116025
0,0156013967
9367,0385314019
1596,0743444167
2902,0618231617
9675,1567920047
4002,0811203220
2265,1573229148
10222,0787955671
0,0425174484
2404,0385496907
0,0446523992
4314,0140185216
7014,0684717255
7777,0486272745
8190,0062507249
3132,0684801221
0,1576737357
273,0060083298
1058,0446672211
7247,0140293248
8664,0807070718
7611,0743213831
10119,0345305477
9995,0061080519
3786,0142000205
2886,0316735027
740,193156146X
475,015600710X
10292,0062517856
6962,0679767789
1515,0449911683
9429,0425169626
1515,0449207757
1515,0449245691
10467,0140029400
10467,0140021566
4693,2253004022
123,2253005274
3110,225300670X
9197,2266084372
8665,2070362388
206,2266029460
1529,2253007102
8607,2070417743
8564,2266033689
3025,2070384349
4693,207053880X
6499,2070334368
1860,2290314951
8864,229000510X
9697,3492207006
1633,3499177757
1683,3889774016
5095,3502670005
1714,0905762487
1683,3499222604
0,3746670055
4545,0140620427
4010,3596144434
725,3442724686
2001,0385504209
7792,0446525502
4558,0385500769
4309,0399147012
3959,0670892963
24,0688180639
475,0316789089
7195,0451197275
2099,0425184129
2171,0151001006
5175,0385505833
930,0679442790
3086,0525943862
5984,0609605925
8064,0060191929
7089,0743206045
794,0684864843
8783,0684867818
6715,0743406176
0,0380978539
5185,0679603352
10576,0679410430
7792,0446523569
4818,0671042556
8774,0679450440
5045,0140107649
4748,0609606727
7792,0446527793
7792,0446531332
10395,1570717257
4573,0060192631
0,0385420161
0,0345339711
10501,052594463X
9439,039304016X
7868,0399147128
0,0670031046
1898,0394574745
4476,0316969443
7089,0743230051
4476,0316693200
8783,0684868911
10418,0842336214
5225,0399148582
794,0684864320
3086,0525944834
9297,0345428900
6348,0451176812
8205,0671525794
2457,0718144538
4602,0446602086
1818,0394551427
6216,0064407667
7181,0007100221
1130,2253148539
3406,2253043974
6561,2020315491
4099,0747549923
4344,0743462335
2209,0140253580
6311,0947782141
8391,057120354X
4121,0349101779
4344,0743222229
2144,185479549X
5281,0140292918
7405,1854795554
8713,1858813093
0,2871290911
8531,0198604025
3384,1842151053
928,2253063339
444,1860198597
295,0767908473
1564,1842040154
3695,0140622063
0,0571209521
1130,2264009306
147,1841952931
3978,0890877564
3,1405200677
8,0416196772
3097,0747538069
2959,0375501347
9224,0060927240
2248,0316776963
6262,156341029X
7751,0060934719
1663,1886383421
6133,1888451084
3413,0451450256
6131,1555835953
1357,0395877563
4719,0962893862
3049,1555834531
2318,0393318435
5671,0889740828
0,1563410443
4919,1563899388
5033,1563411148
6694,0553579681
6694,0553579673
2286,0451181379
4765,0786889160
10153,0345370740
0,0553574175
0,0553574167
0,0553574159
6654,0312287240
0,0679801146
0,0446300101
9366,0821750410
2286,0425142485
7246,0451456548
4225,0060006048
3368,0312906552
10581,0440117291
5293,0425049981
7673,0374386676
1757,0786886463
7810,0345395379
4570,0380788497
5563,0307215342
7673,0374343381
6198,0345403339
4357,0440226694
4357,0440219604
8040,0767903285
0,0345429176
10233,038529929X
7798,1573229571
2632,0345418778
1862,0517201658
9767,0743211383
8878,039914370X
414,1884777805
6822,0312977905
0,0812521331
2286,0451205421
8192,0894342789
8323,0440218535
3128,0449207595
5235,0670844594
2722,039457513X
9612,0394559487
3327,0804001944
5649,0590897985
5885,0689832877
1384,0689829698
5609,0439042917
0,0064409457
1268,0064405052
0,043922165X
2431,0152162445
2431,0152162577
2431,015216250X
1403,1562477528
0,0439221676
9519,0439221684
8558,0439221714
0,0439221706
8558,0439221730
0,0440415993
0,0895872102
403,068983585X
2632,0345391802
6446,0440219078
1207,185424597X
5736,2080105434
7523,349913358X
8073,3257201761
5854,3404121686
5854,3404118960
9783,0345356578
9783,0345346971
930,0753804700
9767,0451155750
2990,0786890436
10324,0415928087
0,0521427150
9013,0812923278
1147,0884111342
0,0345428544
2632,0671694049
6049,080901582X
573,0449006557
1380,0373250339
0,0380820447
4352,0385497679
6895,0451454243
395,0941423042
1436,0373871562
6498,0553101439
4295,0898151910
616,0835949362
1583,0880701102
10338,039914563X
7935,0312853238
10465,0688048730
0,0425161722
5175,0385493800
10638,0849916399
1216,1928791107
9219,067175145X
5175,0440211727
548,0877192820
5698,0380002450
5952,0793133955
2536,0394178017
10338,0425134350
10807,0385479689
1327,0380754851
8784,0380538504
7314,044661162X
5487,0671742566
6300,0515122408
5206,0440222818
5187,0451204050
255,038533334X
4036,0449131548
0,0440120470
0,0451188209
885,0440130913
6781,0449001954
8774,0345404777
2846,0451185277
2067,0440224829
683,0671779338
1461,0515134368
8472,0380759497
0,3442098424
10618,0394578791
10356,1558505377
0,0373245696
0,0743201078
9620,068983571X
98,0553256785
6927,0892967994
9538,0061064505
3972,1551668785
2360,0836230868
4204,0381999866
0,0380817144
9553,0380752115
3032,0553212583
9583,0446364762
9056,0425166619
3324,061312975X
5079,0765341972
4530,0590514776
8648,0373037430
7221,0064472779
10093,0553581279
1493,0373750013
8716,0393030342
10089,0553561618
4786,0312422156
1000,0425139069
9412,0450029956
4399,0130139165
10138,0373196741
5698,0451524489
5477,0140065172
5175,044022165X
9337,0373123485
3951,0373123108
1078,0590225170
9056,0399143165
3543,044132231X
2289,0425124347
4447,0786889705
7311,0312282990
817,0425137945
817,042512892X
817,0425113892
7895,0394820371
7301,0449134482
5090,014036336X
1328,0375821813
1401,0812516826
10757,0345348036
6720,0679420118
6916,0871137380
5343,0741409690
5343,0741407213
5343,0759612277
5343,0741402858
5343,1585007366
5343,074141127X
5343,0741403471
5343,0741403781
5343,0741403056
5343,0741405784
5343,0741402912
7408,0553568760
8774,034538184X
3033,0140620125
4545,0140620109
121,0375420827
0,0671745530
1769,0805062971
3033,0553211412
2702,0671510053
67,1573229385
3901,0945397410
7786,0385334036
7520,0060914653
0,0345347536
6028,055321313X
0,3473540420
2224,0375507256
5346,0060529709
1533,0876850867
4314,0140274154
3910,0679743464
3910,0375704027
3271,0874067391
8051,0590484753
4319,0451527038
1233,1590520777
0,0590484672
6681,0975311255
605,0743237188
4193,0553586122
6391,0553584510
3225,0345341201
6344,1551662744
885,0440175623
885,0440216842
9899,0345443284
9528,0553285653
2672,0394800133
10321,0060972777
4210,0064401472
6942,0156001942
3475,055326382X
5185,0345418018
3132,0684801469
0,0393961192
3025,9997522052
8478,0872203492
5333,0312420145
0,0911104542
5513,0375401318
10823,0140253602
266,0671789422
9743,1566193966
10608,014016930X
2491,0140077022
8576,0679732764
4213,0553273604
4213,0553273914
9510,0060256672
4896,039592720X
6424,1859671500
1591,0810935627
8647,0060928336
10609,0671003755
10359,0553268449
10456,0684844729
9320,0395051649
10480,0375705228
3406,038001503X
3632,0835607860
5234,158574218X
0,0806996021
2415,0440215625
2248,0316777730
10901,0375501851
7723,0877733759
9894,0805019367
10768,0140070206
1102,0140236589
5281,0140042393
8596,1590520653
7667,1590521994
6805,3446202218
680,3499134446
1992,067142517X
1833,0671726889
0,0446601241
9767,0451124340
576,0345384466
4476,0446604801
0,0345422392
9333,0679734775
3466,0440414717
6807,0689715625
10093,0812539389
9537,0152013369
817,0425124819
1333,0345409469
0,1558747346
666,0373250177
7359,0763615382
2273,0965975401
9464,0141001771
7739,068930935X
0,0451523369
5668,0786884622
1811,0449005569
9728,0671027344
6786,0786927089
4228,0684831058
4213,006019491X
0,0684819066
3811,0375420673
2935,0140368558
0,0395353416
4213,0066211611
2214,0312254164
0,3453147243
1721,3746611229
3412,3492229336
1433,3453177800
1684,3423009152
10219,3596133319
8475,3822813397
1726,3426871874
9020,3453171977
5431,3423620005
0,034537522X
0,0345375211
3810,034545829X
4314,0140042520
7751,0380789035
8004,0446677574
696,0345358791
0,0060964049
4660,0380558483
4235,1558171398
7360,0425121046
5237,0441317502
0,0804102279
0,0812551389
0,0345298985
9783,0345316991
0,034531042X
0,0345310306
0,0345310292
0,034531011X
8341,0679734058
4309,0451130448
0,0553266500
10233,0440206154
7317,0345370775
9067,0441366945
3833,0553574833
3008,0915950839
1014,0060242388
744,0452265347
3225,0743457943
7868,0373484224
6874,0553205757
9592,0060171510
8147,0312421001
330,0786000988
7751,0380789019
5156,0451135989
1862,0380018179
0,0679004785
179,0684825821
2614,0517395754
0,067101420X
725,0679457313
570,0394557433
6164,0553571656
471,0312169787
4743,0942257324
6516,0805008950
7244,0786866276
882,0151000638
1386,0140266771
266,015644450X
10576,0679723420
10306,0441004016
4703,0671500546
7940,0140620338
9321,0460878263
8239,3257061269
798,3453210999
0,3404126661
7792,3453177622
3844,3453863593
4843,3499108518
4027,3518367064
9728,3453199766
0,3746670144
10856,3453088433
6347,0425137015
4551,0553572490
6498,0553576976
10806,0451450604
9651,0441001335
2385,0451454677
9218,0373257074
6379,0441435351
1394,0373092237
1716,0373057296
0,0373058446
4121,0349103232
7520,0571197779
10434,0679745653
10543,0571200389
950,0785268480
5067,014044503X
10226,0851707777
89,0006276199
89,0551031123
0,0551030682
89,0551032510
3318,000649840X
0,0140431268
701,0099771519
9781,0486265862
0,067102535X
1533,0876855575
4433,0330376136
10820,0140272658
0,3407780028
0,3407780117
4687,3257250398
0,3257250053
8423,3257250460
1822,3442435951
3197,3442435838
685,3608919724
1812,3453132262
10557,379411664X
4644,340780573X
4644,3407805853
1769,0385720920
1769,0385498721
5245,0972948503
0,0380813815
7455,2070372294
4097,2264030542
0,0030615321
3461,0836217632
3438,0140099832
117,0385314744
915,0316107417
0,0894803700
2457,0449221164
9739,0553801031
8051,0590457225
3564,0316929190
8848,0553052845
6507,0140390693
1901,0439404371
9664,0939766027
0,0679741011
4444,0345307674
8866,0425071421
568,0345297687
6507,0766607119
4463,1573225789
6501,0380754843
568,0345368940
568,0345331605
3100,0425050807
8875,044100962X
553,0553296981
6987,1895383129
7863,0375724575
1212,067163884X
10755,0553140434
1828,0029087104
3809,0425050750
10153,0345285549
10153,0345290240
0,0345301870
9767,0451169530
6068,067168390X
9642,0385335881
0,0385335482
5185,0553258001
5516,0671679627
7922,0375704043
1436,0373871279
590,0373484070
797,0805063889
8548,068986020X
1429,0671568809
0,1573228567
6535,0553582658
4671,051513399X
7868,0373218400
4996,0449217868
5827,0671573020
1242,0517006456
8328,0786867086
2892,1569471800
4083,0374216495
5173,0312274572
6981,0316825336
5207,0871137631
7590,0679419152
10390,0060192895
3253,0826308791
10450,0140259198
3740,0345435249
7751,0441003257
9486,0451202503
7792,0446606812
5803,0671028375
4784,0451181468
7767,0399149759
7017,0345384733
10469,0671759361
9751,0830724982
9056,0399146008
2726,3442720001
2552,0515132632
4746,044990671X
841,0688124402
4425,0929587081
0,155970117X
5597,0688105408
9007,0871130297
5845,0440500095
6065,1570362084
813,0060930535
3134,0375702709
562,044990928X
1160,0671038184
10917,0060916508
0,0756401453
9304,0963270702
3400,0399242562
1015,0552996009
0,0708881297
5281,0142000663
8408,0590542443
0,0590112899
8408,0590660543
5185,0345361792
5511,0552999512
9093,041619513X
6780,0855030224
3066,0861638522
4389,0575073314
4389,0575073004
5619,0394404289
6293,000636988X
4567,1578562333
10171,0345458915
7919,038531258X
986,006092988X
7332,0140317937
603,0743225406
1903,0553256696
0,0785263780
6979,0802433243
6962,0375413081
201,1400034779
7409,038533303X
5156,0451163753
2619,0440414520
9815,0786885688
780,0671880187
509,1558506454
8629,0895773538
5375,0385247745
885,0385293542
2694,0802069347
0,0671721038
1214,0671311891
0,0345387007
0,037570504X
1015,0767902521
5052,0892967048
724,0553377868
9504,0472113658
0,0609608444
9409,0670032425
2011,0915811332
4294,1558744606
360,080410753X
6967,0451526503
4289,0345325818
7744,044023767X
6158,014131088X
1681,043909013X
7119,0140244824
1189,155643068X
0,096478260X
1189,155643152X
2230,0553346768
0,0884043142
4780,0743221990
9730,0312983212
0,0553486411
8333,3478088534
10032,3821807059
10681,0865532168
2623,059040640X
3271,1566197155
768,0805210318
5696,031227999X
5175,0385508417
5175,0385510438
9963,0848705459
7767,0380723638
10251,0718001044
2446,0307132668
8882,0812515722
7585,0373169876
3709,0890842795
5512,0385324057
8607,9505470010
5344,0609602535
1835,0425185710
8132,0061030651
4309,0425178773
9025,0553575619
3347,0671578391
8770,0425095584
7326,0451409086
9730,031298250X
8132,006109594X
2632,0671527215
10700,0486203077
8593,0671522817
8685,0618074716
1291,1400062888
8561,0618045996
7797,0312303033
1361,1931520038
9651,0671318314
10359,0553377876
2770,1558612815
0,014025448X
506,0060934417
7089,0671793489
10812,0174434642
5336,0679772677
4807,0312983824
5984,0449149676
5984,0449006344
6535,0553568183
759,0451191153
7786,0440224624
4545,0451523067
4826,0743418174
4545,0451526295
3010,0440214424
4545,0451187903
6749,0385491050
794,0671036505
215,0553213504
2609,0446605891
8619,0394758285
7089,0671004565
10695,0345370805
5827,0375703055
475,0156006529
1306,0446673544
3406,0140256369
7318,0312243022
475,0316789844
2426,0679761837
6749,0385490445
2076,0380725398
9950,0345316770
1545,0375700757
3206,0070212570
562,0385480016
8064,0061098361
9950,0061093092
4560,0821758950
8854,0679729917
6995,0451411013
0,0446611239
5935,0553580078
4309,0425189414
10810,0812909372
6263,0451410912
475,0316781266
6967,0486280616
1487,0743405978
9767,0671032658
3719,0446607835
0,0451402103
4587,0373250223
6826,0380817683
9739,0671701053
7256,0671000381
4337,006101253X
2679,0671689231
7221,0380814021
1438,0373711026
6476,0373710992
2344,0373711107
2326,0440217806
8648,0373711123
6785,0373711115
6896,0373711131
10390,0061098795
2792,0791423549
2104,0375725784
4028,0465016146
4028,0465016103
5574,0373226519
7940,0380012774
928,225313922X
4655,0142004030
10679,0452281784
9438,0375704558
9898,038533656X
2576,0743230213
9526,0345436911
2438,0452284481
4355,0802135196
9367,0440217520
9711,0373834985
4574,0679450548
6656,0451135555
0,0345339703
8699,038039586X
4655,0670030643
5114,0060929596
4154,3499232871
5229,0374516901
5996,0440131480
10507,0609600745
9283,0375707425
10338,3453151933
6910,0231105592
7680,0590317822
4921,014056232X
510,0590447319
9424,0440940001
10260,0440401119
6523,0440203155
0,0812565959
2191,034536628X
0,0880387483
0,0880387300
5076,0425163385
7195,0743444051
8077,0061056103
4780,0671042262
5270,0425157539
5822,0553585681
5822,0553585118
5566,0886777690
7089,0743212002
0,3426650754
4535,1854877178
3498,0380803526
984,0373152655
796,0451404033
10569,1583140352
5522,1854879073
6281,0821728326
7868,037348397X
0,0380773155
5854,3404100263
8342,0679731148
8401,2070417700
3132,2070360075
2642,0786889373
8401,2207245810
8401,2207250474
8401,2290331406
8401,2070426815
8401,2290305251
5281,2070364283
168,2266128566
2758,2070363104
8239,2253152277
6970,2207252000
9056,2253170453
0,2723409821
0,2070415686
8401,2258036992
0,2207251756
8665,2266000489
157,2070360423
9662,0394822862
33,0874493803
9909,1569870942
0,1579730272
6672,0307177092
4694,2253004898
644,0812094271
6610,0380600129
3809,0451522389
1434,0425169324
3225,082176828X
4476,0316693324
2018,0553283685
9148,1841215457
8523,0064410358
9823,0007108648
4225,0064472930
0,0590629824
9767,0743412273
5235,0140089586
7162,0316140651
4604,1559277785
576,0345367898
6867,0205280854
1177,0553110721
1253,1558534245
0,0553580272
7083,1560980087
8592,0679412271
3067,0803281730
10153,0345396529
5122,0440455332
9441,1860462995
8127,0679452281
10783,0811807150
10548,0393029190
6960,0385425686
891,0312169655
6534,0785324712
7076,0449912558
6640,0934257345
6173,0312205872
0,0670867144
8838,0805051732
10521,0449300021
7089,0684835983
5512,0440226430
4809,0385721358
2481,031231616X
2628,0764504509
672,089480829X
4556,0767912233
3455,0971453217
0,0971453209
2389,0785268030
2164,0743201736
672,0894805770
4998,0440177499
8505,0553232053
1204,0312269102
8239,0062502174
477,0688177751
90,0345438329
875,0345401123
0,1593160151
353,1593160127
3102,0451209435
2420,1551669501
930,0375707972
4289,0618126988
8636,0060094850
10663,0060192305
6434,0142000361
0,0872860175
7133,031219126X
3132,0020518609
582,0345446860
3878,0446310492
0,037348285X
6300,0515090506
8055,0399145087
417,0812590244
8829,0963641328
1485,1574551108
230,0879739304
9226,0965712516
9047,0670829943
5114,0060192119
1055,0836218256
4351,0898707129
1268,0805420460
9304,0140140352
0,1575666529
0,0312990456
0,0440221102
4476,0316969680
237,0449207463
1245,0689109865
7199,3518368540
10258,0312423209
0,0141180633
10258,0140283382
8147,0786248688
10506,0773762078
6020,0884041093
6020,0884040801
2590,0786887842
9742,0450542912
8977,0192817264
2835,0751522732
2516,0091850401
0,1853260312
6160,0140016821
0,0440418569
9312,0786014210
0,0441005667
6234,0553259830
367,0312965338
0,1888740051
6217,0061008028
1994,1931646384
10756,0399501487
10770,157566559X
5431,3423125551
6409,0060514949
0,0425188361
4482,0066210151
4268,0395177111
576,0375411992
5467,0060287802
6699,3442730066
10540,0394718968
5947,0192820753
0,0671744003
4010,3596129389
9431,0915308789
1458,3423620196
1864,0743203313
0,0425177173
5055,0425172554
5175,0440224764
1287,0553572997
9722,034543076X
1015,0380727501
746,0312423799
6931,0743249887
10736,0316089745
201,037542217X
2152,0345440773
885,0440208912
0,0061093106
7868,0373218192
0,0515120006
6300,0515127396
5109,0345433084
2572,0345416260
5314,0385494785
5314,0385486804
6941,0385512104
7425,1555973981
8959,0451180208
5468,089587198X
3798,0198811020
5185,0525237704
0,039914255X
3979,0340649763
5175,0440236673
4179,0553295071
5156,0316291161
0,0449208397
7886,1590171012
1702,0060505273
7317,0752999958
7668,0702229962
1664,0679771476
6631,0684848597
6627,031215125X
9474,0064405176
0,0684821192
2284,0061056871
2287,0590988301
7424,0883659654
7786,0440235162
1015,076790382X
5606,0330357808
0,0425158616
6789,0307001385
9513,0595157939
327,0702231088
1323,0140143599
0,0062502182
813,0060175400
7899,1573221775
6201,0913367044
0,1888698357
