Author_id,NAME
4560,Jane Heller
7422,Michael Rips
9609,Simon Mawer
10720,William Abrahams
0,
5854,Ken Follett
5149,John F. Love
8924,Robert G. Allen
6497,Louis De Bernieres
0,
7567,Mitch Albom
7362,Michael Jan Friedman
3667,Glendon Swarthout
0,
2225,David Morrell
9330,Sandra Brown
4476,James Patterson
9330,Sandra Brown
9882,Stuart Woods
4193,Iris Johansen
2001,Dan Brown
5042,Joe Hutsko
475,Anita Shreve
0,
0,
8205,Paul Theroux
0,
0,
9767,Stephen King
896,Ben Mezrich
0,
10338,Tom Clancy
2024,Dana Reeve
9191,Roy
816,Barbara Metzger
3406,Gabriel Garcia Marquez
8647,Rebecca Wells
10390,Tony Hillerman
7089,Mary Higgins Clark
8954,Robert James Waller
8551,Rachel Harris
4142,Ian McEwan
7385,Michael Lewis
8819,Richard Zimler
7882,Norman Jetmundsen
6467,Lorenzo Carcaterra
555,Anne Frasier
5822,Kay Hooper
2076,Daphne Du Maurier
7733,Nathaniel Hawthorne
7800,Nick Page
6114,Laura Wolf
6436,Lois Duncan
9943,Susan Grant
835,Barbara Vine
9565,Shirley Rousseau Murphy
0,
8954,Robert James Waller
986,Betty Smith
1938,Cybill Shepherd
9859,Stewart O'Nan
2124,David Baldacci
2632,Douglas Adams
7108,Mary Lawson
10714,Willa Cather
7926,Olivia Goldsmith
3959,Helen Fielding
4545,Jane Austen
3330,Franklin W. Dixon
3330,Franklin W. Dixon
0,
6300,Lilian Jackson Braun
0,
3802,H. Norman Wright
0,
8607,Ray Bradbury
3378,Friedrich Schiller
8607,Ray Bradbury
8619,Raymond Chandler
8607,Ray Bradbury
8607,Ray Bradbury
8607,Ray Bradbury
8607,Ray Bradbury
8607,Ray Bradbury
8607,Ray Bradbury
8607,Ray Bradbury
8607,Ray Bradbury
8239,Paulo Coelho
3405,Gabriel García Márquez
3213,Fay Weldon
658,Arabella Weir
5919,Kiana Davenport
9902,Sue Townsend
8667,Renan Demirkan
7400,Michael Moore
5333,Jonathan Franzen
4243,J. D. Salinger
0,
4443,James Joyce
5014,Joanna Trollope
0,
7520,Milan Kundera
725,Arundhati Roy
9012,Robert S. Levinson
4476,James Patterson
4476,James Patterson
8774,Richard North Patterson
7317,Michael Crichton
8774,Richard North Patterson
6481,Lorna Landvik
701,Arthur Golden
5894,Kent Haruf
8057,Patricia D Cornwell
8059,Patricia D. Cornwell
1376,Carol J. Farley
5758,Kathleen E. Woodiwiss
5758,Kathleen E. Woodiwiss
885,Belva Plain
5175,John Grisham
5175,John Grisham
6941,Mark Haddon
5175,John Grisham
482,Ann Brashares
3111,Erich Segal
2895,Elizabeth Adler
4476,James Patterson
7792,Nicholas Sparks
5271,John Saul
6481,Lorna Landvik
9767,Stephen King
9824,Steve Thayer
10412,Tracy Chevalier
5483,Judith Kelman
7408,Michael Palmer
0,
7880,Norman Bridwell
8055,Patricia Cornwell
2001,Dan Brown
3318,Frank McCourt
2001,Dan Brown
6678,Malachy Mccourt
6810,Mari Sandoz
573,Anne Perry
0,
4294,Jack Canfield
3761,Gregory Maguire
10877,Yann Martel
9249,Ruth Rendell
117,Al Franken
2569,Donna Tartt
4294,Jack Canfield
5231,John Milne
475,Anita Shreve
10166,Terry Pratchett
10166,Terry Pratchett
10166,Terry Pratchett
2703,E. B. White
4254,J. M. Barrie
7123,Mary O'Hara
10166,Terry Pratchett
10166,Terry Pratchett
10166,Terry Pratchett
10166,Terry Pratchett
0,
4545,JANE AUSTEN
5880,Kenneth Grahame
917,Bernard Cornwell
1539,Charles De Lint
6460,Lord Dunsany
3579,Georgette Heyer
7940,Oscar Wilde
10117,Ted Hughes
8854,Roald Dahl
0,
0,
0,
0,
8607,Ray Bradbury
2556,Donna Jo Napoli
37,A.S. Byatt
10095,Tanuja Desai Hidier
9642,Sophie Kinsella
4217,Isabel Wolff
6507,Louisa May Alcott
4545,Jane Austen
3550,George Orwell
1540,Charles Dickens
4213,Isabel Allende
813,Barbara Kingsolver
2977,Ellen Datlow
1540,Charles Dickens
37,A.S. Byatt
5388,Joseph Heller
5162,John Galsworthy
3066,Enid Blyton
3066,Enid Blyton
7751,Neil Gaiman
144,Alan Moore
7751,Neil Gaiman
0,
7751,Neil Gaiman
10433,Trudy Suggs
10370,Tom Wolfe
1146,Brady Udall
4064,Homer Hickam
5175,John Grisham
8243,Pearl Abraham
10232,Thomas Hardy
9439,Sebastian Junger
5634,Karen Armstrong
7063,Mary Barnard
2129,David Brin
10058,T. C. Boyle
8478,Plato
6585,Lynda Madaras
9777,Stephen Mccauley
4220,Isabelle Holland
7989,Pam Conrad
6566,Lurlene Mcdaniel
1181,Brian Kaufman
5128,John Darnton
7033,Martin Schenk
2152,David Eddings
8195,Paul Reiser
2162,David G. Hartwell
2099,Dave Barry
5253,John R. Holt
10197,Theodore Beale
3317,Frank M. Robinson
7094,Mary Jane Clark
7133,Mary Shelley
9037,Robert Westall
8878,Robert B. Parker
8841,Rita Chapman Works
8055,Patricia Cornwell
2632,Douglas Adams
24,A. Manette Ansay
9397,Sarah Waters
553,Anne Frank
854,Barry Lopez
0,
10338,Tom Clancy
390,Andrea Kane
7767,Nevada Barr
6769,Margaret Maron
2787,Edna Barker
7636,Muriel Whitaker
5185,John Irving
10756,William Golding
3879,HarperReference
6533,LTD
506,Ann Patchett
8854,Roald Dahl
9901,Sue Monk; Sue Monk Kidd Kidd
1105,Bob Thiele
2001,Dan Brown
1862,Colleen Mccullough
5022,Joanne Harris
5175,John Grisham
10220,Thomas Cahill
5175,John Grisham
7353,Michael Hudson
4589,Jane Smiley
2457,Dick Francis
2457,Dick Francis
0,
2632,Douglas Adams
4707,Jean Marzollo
4707,Jean Marzollo
794,Barbara Delinsky
7963,P. D. James
718,Arthur W. Upfield
794,Barbara Delinsky
1757,Christopher Rice
8678,Rex Stout
4971,Joan Anderson
10490,Vance Havner
10656,Warren W. Wiersbe
7200,Max Lucado
6058,Larry Crabb
855,Barry Neil Kaufman
1103,Bob Sjogren
3364,Frederick J. Moody
0,
10814,William Sleator
630,Antoine De Saint-Exupery
8703,Richard Bach
5912,Kevin Sullivan
7464,Michele Morgan
0,
0,
8813,Richard Webster
920,Bernard King
8033,Pat Hutchins
10812,William Shakespeare
7253,Melissa McClone
1642,Cheryl St. John
6276,Lewis Carroll
7089,Mary Higgins Clark
6967,Mark Twain
8647,Rebecca Wells
7072,Mary Crow Dog
9439,Sebastian Junger
6340,Linda Gordon
3241,Florence King
261,Alice Sebold
9648,Spalding Gray
10233,Thomas Harris
2825,Edward Rutherfurd
6749,Margaret Atwood
2601,Dorothy Allison
6749,Margaret Atwood
7210,Maya Angelou
2776,Edith Wharton
7064,Mary Brave Bird
5161,John G. Neihardt
9117,Roland Warren
0,
4464,James McCourt
2965,Elizabeth Wurtzel
1013,Bill Bradley
2502,Don Miguel Ruiz
8182,Paul Lester
6230,Leo Tolstoy
9610,Simon Nye
8862,Robert A Johnson
6713,Marc Gascoigne
9712,Stephanie Maze
9334,Sandra Dallas
0,
0,
568,Anne McCaffrey
2166,David Gemmell
6115,Laura Zigman
5175,John Grisham
6781,Margaret Truman
0,
8216,Paula Danziger
8697,Richard A. Lupoff
1437,Carrie A. Bebris
0,
1311,Candice F. Ransom
0,
516,Anna
1540,Charles Dickens
2557,Donna K. Grosvenor
7142,Mary Wollstonecraft Shelley
7733,Nathaniel Hawthorne
568,Anne McCaffrey
9037,Robert Westall
10476,Valerie Block
6535,Luanne Rice
261,Alice Sebold
10060,T. Coraghessan Boyle
2981,Ellen Gilchrist
5185,John Irving
10293,Tim Gautreaux
8794,Richard Russo
6749,Margaret Atwood
5431,Jostein Gaarder
535,Anna Quindlen
2438,Diane Johnson
2286,Dean Koontz
10609,Wally Lamb
82,Adeline Yen Mah
797,Barbara Ehrenreich
0,
5204,John LeCarre
9618,Singer Media Corporation
7926,Olivia Goldsmith
3036,Emily Dickinson
3920,Hazel Harrison
5386,Joseph Girzone
5379,Joseph F. Girzone
6482,Lorraine Anderson
10298,Tim LaHaye
61,Ad Hudler
5410,Josephine Carlton
10118,Ted L. Nancy
3296,Francis Wheen
9767,Stephen King
2990,Ellen Rimbauer
9583,Sidney Sheldon
1750,Christopher Moore
7089,Mary Higgins Clark
8971,Robert Lacey
10289,Tim Dorsey
5029,Jodi Compton
3010,Elmore Leonard
3010,Elmore Leonard
6591,Lynn Coady
5200,John Lawton
2850,Eileen Yin-Fei Lo
10279,Tilden Edwards
813,Barbara Kingsolver
813,Barbara Kingsolver
10543,Vikram Seth
4213,Isabel Allende
10390,Tony Hillerman
2922,Elizabeth Gaskell
471,Anita Diamant
6129,Lauren Haney
3595,Gerald Stern
6300,Lilian Jackson Braun
8055,Patricia Cornwell
6658,Maeve Binchy
6995,Martha Grimes
4001,Henry James
9389,Sarah Orne Jewett
10735,William Carlos Williams
8682,Rh Value Publishing
2776,Edith Wharton
3898,Harry Kemelman
7519,Mil Millington
10019,Suzanne G. Farnham
0,
0,
9045,Roberto Juarroz
3846,Hans Kmoch
3057,Emma Mclaughlin
8175,Paul Jennings
6932,Mark E. Neely Jr.
9760,Stephen J. Weininger
6063,Larry Katzenstein
2255,David Steinman
0,
8224,Paula Polk Lillard
2205,David Lewis
1059,Billie Livingston
79,Adele Lang
4796,Jen Banbury
8060,Patricia Daniels Cornwell
1461,Catherine Coulter
0,
1835,Clive Cussler
7089,Mary Higgins Clark
5244,John Pascal
1328,Carl Hiaasen
5346,Jonathan Safran Foer
10877,Yann Martel
3283,Francesca Marciano
5540,Julia Glass
10105,Tawni O'Dell
4826,Jennifer Weiner
2067,Danielle Steel
6233,Leon Hale
9224,Russell Banks
9321,Samuel Taylor Coleridge
1142,BRADLEY P WARSHAUER
1108,Bobbie Ann Mason
7868,Nora Roberts
5664,Karen Robards
3056,Emma Lathen
2286,Dean Koontz
3215,Faye Kellerman
4358,Jacquelyn Mitchard
7868,Nora Roberts
4589,Jane Smiley
2445,Diane Mott Davidson
1306,Candace Bushnell
7868,Nora Roberts
5984,Kristin Hannah
7393,Michael Marshall
306,Allen Widome
5175,John Grisham
5175,John Grisham
10697,Wilbur Smith
7512,Mike Thaler
5175,John Grisham
7432,Michael Slade
0,
10089,Tami Hoag
10089,Tami Hoag
7089,Mary Higgins Clark
10116,Ted Dekker
453,Angela Hunt
10116,Ted Dekker
0,
1266,C. S Lewis
10702,Will Eisner
9056,Robin Cook
512,Ann Rule
2710,E. Lynn Harris
6338,Linda Goodman
0,
576,Anne Rice
5497,Judith Rossner
6863,Marilyn French
10663,Wayne W. Dyer
680,Armistead Maupin
5575,Julie Morgenstern
8361,Peter Straub
0,
2067,Danielle Steel
834,Barbara Taylor Bradford
6397,Lisa Jackson
9486,Sharyn McCrumb
5822,Kay Hooper
7089,Mary Higgins Clark
1841,Cokie Roberts
9458,Shana Corey
4872,Jesse S. Ostrow
5607,Justine Korman
8096,Patricia Reilly Giff
998,Beverly Cleary
5615,K.A. Applegate
4593,Jane Yolen
3684,Golden Books
7051,Marvin Miller
1914,Craig Boldman
3797,H. G. Wells
1110,Bobbie Kalman
7268,Mercedes Lackey
7268,Mercedes Lackey
2610,Dorothy Gilman
7623,MoveOn.org
7268,Mercedes Lackey
1736,Christopher Finch
1545,Charles Frazier
5548,Julia Spencer-Fleming
5548,Julia Spencer-Fleming
3206,Fannie Flagg
6091,Laura Ingall Wilder
3318,Frank McCourt
6391,Lisa Gardner
998,Beverly Cleary
0,
5548,Julia Spencer-Fleming
0,
0,
0,
6603,Lynn S. Hightower
0,
9486,Sharyn McCrumb
2610,Dorothy Gilman
3096,Eric Schlosser
0,
0,
3418,Gail Carson Levine
3275,Frances Kuffel
9925,Susan Conant
2245,David Schickler
6658,Maeve Binchy
5487,Judith McNaught
8607,Ray Bradbury
4604,JANET EVANOVICH
10047,Sylvia Plath
4157,Ilona Koidahl
8774,Richard North Patterson
3225,Fern Michaels
3225,Fern Michaels
956,Betsy Byars
1232,Bruce Sterling
4476,James Patterson
9372,Sarah Ban Breathnach
248,Alice Hoffman
6409,Lisa Scottoline
9650,Spencer Johnson
4142,Ian McEwan
2155,David Feldman
8706,Richard Bausch
5805,Katie Fforde
4395,James Burke
0,
9367,Sara Paretsky
1596,Charles Webb
2902,Elizabeth Benedict
9675,Stanley Morison; Brooke Crutchley (editor); Mike P
4002,Henry Miller
2265,David Whyte
10222,Thomas Cummings
0,
2404,Desmond Tutu
0,
4314,Jack Kerouac
7014,Martin Buber
7777,Niccolò Machiavelli
8190,Paul Monette
3132,Ernest Hemingway
0,
273,Alisa Kwitney
1058,Billie Letts
7247,Melissa Bank
8664,Rena Kornreich Gelissen
7611,Moon Unit Zappa
10119,Ted Mooney
9995,Susan Wiggs
3786,Gwyn Hyman Rubio
2886,Elisabeth Robinson
740,Audrey Niffenegger
475,Anita Shreve
10292,Tim Farrington
6962,Mark Salzman
1515,Chaim Potok
9429,Scott Spencer
1515,Chaim Potok
1515,Chaim Potok
10467,V. S. Naipaul
10467,V. S. Naipaul
4693,Jean Giono
123,Alain-Fournier
3110,Erich Maria Remarque
9197,Roy Lewis
8665,René Barjavel
206,Alexandra David-Néel
1529,Charles Baudelaire
8607,Ray Bradbury
8564,Radiguet
3025,Emile Zola
4693,Jean Giono
6499,Louis Pergaud
1860,Collectif
8864,Robert A. (Anson) Heinlein
9697,Sten Nadolny
1633,Cheryl Benard
1683,Christa Wichterich
5095,John Blofeld
1714,Christine Obbo
1683,Christa Wichterich
0,
4545,Jane Austen
4010,Hera Lind
725,Arundhati Roy
2001,Dan Brown
7792,Nicholas Sparks
4558,Jane Hamilton
4309,Jack Higgins
3959,Helen Fielding
24,A. Manette Ansay
475,Anita Shreve
7195,Max Allan Collins
2099,Dave Barry
2171,David Guterson
5175,John Grisham
930,Bernhard Schlink
3086,Eric Jerome Dickey
5984,Kristin Hannah
8064,Patricia Gaffney
7089,Mary Higgins Clark
794,Barbara Delinsky
8783,Richard Paul Evans
6715,Marc Levy
0,
5185,John Irving
10576,Vladimir Nabokov
7792,Nicholas Sparks
4818,Jennifer Lauck
8774,Richard North Patterson
5045,Joe Keenan
4748,Jeanne Ray
7792,Nicholas Sparks
7792,Nicholas Sparks
10395,Tony Parsons
4573,Jane McCafferty
0,
0,
10501,Venise Berry
9439,Sebastian Junger
7868,Nora Roberts
0,
1898,Cormac McCarthy
4476,James Patterson
7089,Mary Higgins Clark
4476,James Patterson
8783,Richard Paul Evans
10418,Travis Thrasher
5225,John McEnroe
794,Barbara Delinsky
3086,Eric Jerome Dickey
9297,Sally Mandel
6348,Linda Lay Shuler
8205,Paul Theroux
2457,Dick Francis
4602,Janet Dailey
1818,Claude Lanzmann
6216,Lemony Snicket
7181,Matthew Thomas
1130,Boris Vian
3406,Gabriel Garcia Marquez
6561,Luis Sepulveda
4099,Hubert Selby
4344,Jacob Weisberg
2209,David Lodge
6311,Lily Seafield
8391,Philip Ardagh
4121,Iain Banks
4344,Jacob Weisberg
2144,David Crombie
5281,John Steinbeck
7405,Michael O'Mara
8713,Richard Brassey
0,
8531,R. W. Holder
3384,From The Editors Of Southwater
928,Bernard Werber
444,Andy Sloss
295,Allan Zola Kronzek
1564,Charles L Squire
3695,Gordon Jarvie
0,
1130,Boris Vian
147,Alan Spence
3978,Helene Siegel
3,A A Milne
8,A. A. Milne
3097,Eric Thompson
2959,Elizabeth Strout
9224,Russell Banks
2248,David Sedaris
6262,Leslie Feinberg
7751,Neil Gaiman
1663,Chris Anne Wolfe
6133,Lauren Sanders
3413,Gael Baudino
6131,Lauren Maddison
1357,Carol Anshaw
4719,Jean Stewart
3049,Emma Donoghue
2318,Deborah E. McDowell
5671,Karen X. Tulchinsky
0,
4919,Jill Thompson
5033,Jody Seay
6694,Manda Scott
6694,Manda Scott
2286,Dean Koontz
4765,Jeff Foxworthy
10153,Terry Brooks
0,
0,
0,
6654,Madelyn Arnold
0,
0,
9366,Sara Orwig
2286,Dean Koontz
7246,Melisa Michaels
4225,Isobel Bird
3368,Frederik Pohl
10581,Vonda McIntyre
5293,John Varley
7673,Nancy Garden
1757,Christopher Rice
7810,Nicola Griffith
4570,Jane Lindskold
5563,Julie Campbell
7673,Nancy Garden
6198,Lee Smith
4357,Jacqueline Woodson
4357,Jacqueline Woodson
8040,Pat Summitt
0,
10233,Thomas Harris
7798,Nick Hornby
2632,Douglas Adams
1862,Colleen McCullough
9767,Stephen King
8878,Robert B. Parker
414,Andrew L Johnson
6822,Marian Babson
0,
2286,Dean Koontz
8192,Paul Phifer
8323,Peter Hoeg
3128,Erma Bombeck
5235,John Mortimer
2722,E.L. Doctorow
9612,Simon Schama
3327,Frank Waters
5649,Karen Hesse
5885,Kenneth Oppel
1384,Carol Ryrie Brink
5609,K. A. Applegate
0,
1268,C. S. Lewis
0,
2431,Diane Duane
2431,Diane Duane
2431,Diane Duane
1403,Carolee Brockman
0,
9519,Shelley Roberts
8558,Rachel Roberts
0,
8558,Rachel Roberts
0,
0,
403,Andrew Clements
2632,Douglas Adams
6446,Lois Lowry
1207,Brother Yun
5736,Katherine Khodorowsky
7523,Milena Moser
8073,Patricia Highsmith
5854,Ken Follett
5854,Ken Follett
9783,Stephen R. Donaldson
9783,Stephen R. Donaldson
930,Bernhard Schlink
9767,Stephen King
2990,Ellen Rimbauer
10324,Todd Herzog
0,
9013,Robert S. McElvaine
1147,Bram Stoker
0,
2632,Douglas Adams
6049,Langston Hughes
573,Anne Perry
1380,Carol Matthews
0,
4352,Jacqueline L. Tobin
6895,Marion Zimmer Bradley
395,Andrei Codrescu
1436,Carolyne Aarsen
6498,Louis L'Amour
4295,Jack Chapman
616,Anthony J Alessandra
1583,Charles R Swindoll
10338,Tom Clancy
7935,Orson Scott Card
10465,V. A. Howard
0,
5175,John Grisham
10638,Walter P. Wilson
1216,Bruce Fries
9219,Rush Limbaugh
5175,John Grisham
548,Anne Dingus
5698,Kate Chopin
5952,Kirk Kazanjian
2536,Donald Merriam Allen
10338,Tom Clancy
10807,William R. Maples
1327,Carl Hausman
8784,Richard Peck
7314,Michael Connelly
5487,Judith McNaught
6300,Lilian Jackson Braun
5206,John Lescroart
5187,John Jakes
255,Alice McDermott
4036,Hilary Bailey
0,
0,
885,Belva Plain
6781,Margaret Truman
8774,Richard North Patterson
2846,Eileen Goudge
2067,Danielle Steel
683,Arnette Lamb
1461,Catherine Coulter
8472,Piers Anthony
0,
10618,Walter Cronkite
10356,Tom Mula
0,
0,
9620,Sir Arthur Conan Doyle
98,Agatha Christie
6927,Mark Cohen
9538,Sherry Shahan
3972,Helen R. Myers
2360,Della Rowland
4204,Irving Adler
0,
9553,Shirlee Busbee
3032,Emily Brontë
9583,Sidney Sheldon
9056,Robin Cook
3324,Frank Peretti
5079,John A. Keel
4530,Jan Gabriel
8648,Rebecca Winters
7221,Meg Cabot
10093,Tanith Lee
1493,Cathy Thacker
8716,Richard Burton
10089,Tami Hoag
4786,Jeffrey Eugenides
1000,Beverly Hastings
9412,Savinien Cyrano De Bergerac
4399,James C. Robertson
10138,Teresa Southwick
5698,Kate Chopin
5477,Judith Guest
5175,John Grisham
9337,Sandra Field
3951,Helen Brooks
1078,Blanche Fisher Wright
9056,Robin Cook
3543,George Gately
2289,Dean R. Koontz
4447,James Lee Burke
7311,Michael Chabon
817,Barbara Michaels
817,Barbara Michaels
817,Barbara Michaels
7895,Norton Juster
7301,Michael Blake
5090,John Bellairs
1328,Carl Hiaasen
1401,Carole Nelson Douglas
10757,William Goldman
6720,Marc Reisner
6916,Mark Bowden
5343,Jonathan Pearce
5343,Jonathan Pearce
5343,Jonathan Pearce
5343,Jonathan Pearce
5343,Jonathan Pearce
5343,Jonathan Pearce
5343,Jonathan Pearce
5343,Jonathan Pearce
5343,Jonathan Pearce
5343,Jonathan Pearce
5343,Jonathan Pearce
7408,Michael Palmer
8774,Richard North Patterson
3033,Emily Bronte
4545,Jane Austen
121,Alain De Botton
0,
1769,Chuck Palahniuk
3033,Emily Bronte
2702,E. Annie Proulx
67,Adam Davies
3901,Harry M. Walker
7786,Nicholas Evans
7520,Milan Kundera
0,
6028,L.M. Montgomery
0,
2224,David Mitchell
5346,Jonathan Safran Foer
1533,Charles Bukowski
4314,Jack Kerouac
3910,Haruki Murakami
3910,Haruki Murakami
3271,Frances Hodgson Burnett
8051,Patricia C. Wrede
4319,Jack London
1233,Bruce Wilkinson
0,
6681,Malcolm Goodway
605,Ann-Marie MacDonald
4193,Iris Johansen
6391,Lisa Gardner
3225,Fern Michaels
6344,Linda Howard
885,Belva Plain
885,Belva Plain
9899,Sue Miller
9528,Sheri S. Tepper
2672,Dr. Seuss
10321,Tobias Wolff
4210,Isaac Bashevis Singer
6942,Mark Helprin
3475,Gary Zukav
5185,John Irving
3132,Ernest Hemingway
0,
3025,Emile Zola
8478,Plato
5333,Jonathan Franzen
0,
5513,Judy Blunt
10823,William Trevor
266,Alice Walker
9743,Stephen Gazi
10608,Wallace Stegner
2491,Don DeLillo
8576,Ralph Ellison
4213,Isabel Allende
4213,Isabel Allende
9510,Shel Silverstein
4896,Jhumpa Lahiri
6424,Liz Trigg
1591,Charles Sullivan
8647,Rebecca Wells
10609,Wally Lamb
10359,Tom Robbins
10456,Ursula Hegi
9320,Samuel Richardson
10480,Valerie Martin
3406,Gabriel Garcia Marquez
3632,Gill Farrer-Halls
5234,John Mordock
0,
2415,Diana Gabaldon
2248,David Sedaris
10901,Zadie Smith
7723,Natalie Goldberg
9894,Sue Grafton
10768,William J. Kennedy
1102,Bob Shacochis
5281,John Steinbeck
8596,Randy Alcorn
7667,Nancy Cobb
6805,Margriet De Moor
680,Armistead Maupin
1992,Dale Carnegie
1833,Clifford Stoll
0,
9767,Stephen King
576,Anne Rice
4476,James Patterson
0,
9333,Sandra Cisneros
3466,Gary Paulsen
6807,Marguerite Henry
10093,Tanith Lee
9537,Sherry Garland
817,Barbara Michaels
1333,Carl Sagan
0,
666,Ariella Papa
7359,Michael J. Rosen
2273,Dawn Chipman
9464,Shannon Olson
7739,Naylor
0,
5668,Karen Stolz
1811,Clare Naylor
9728,Stephen Chbosky
6786,Margaret Weis
4228,Ivan Doig
4213,Isabel Allende
0,
3811,Ha Jin
2935,Elizabeth Laird
0,
4213,Isabel Allende
2214,David M. Gitlitz
0,
1721,Christoph Hein
3412,Gaby Hauptmann
1433,Carolyn See
1684,Christa Wolf
10219,Thomas Brussig
8475,Piers Vitebsky
1726,Christopher A. Weidner
9020,Robert Silverberg
5431,Jostein Gaarder
0,
0,
3810,H.P. Lovecraft
4314,Jack Kerouac
7751,Neil Gaiman
8004,Pamela Grim
696,Arthur C. Clarke
0,
4660,Jay Bennett
4235,J. Applegate
7360,Michael J. Straczynski
5237,John Myers Myers
0,
0,
0,
9783,Stephen R. Donaldson
0,
0,
0,
0,
8341,Peter Matthiessen
4309,Jack Higgins
0,
10233,Thomas Harris
7317,Michael Crichton
9067,Robin McKinley
3833,Hank Whittemore
3008,Ellyn Satter
1014,Bill Brittain
744,August Wilson
3225,Fern Michaels
7868,Nora Roberts
6874,Marilynne Robinson
9592,Sigrid Nunez
8147,Paul Auster
330,Amanda Scott
7751,Neil Gaiman
5156,John Fowles
1862,Colleen McCullough
0,
179,A'Lelia Bundles
2614,Dorothy L. Sayers
0,
725,Arundhati Roy
570,Anne Morrow Lindbergh
6164,Laurie R. King
471,Anita Diamant
4743,Jeanne DuPrau
6516,Louise Erdrich
7244,Melinda Haynes
882,Belle Yang
1386,Carol Shields
266,Alice Walker
10576,Vladimir Nabokov
10306,Tim Powers
4703,Jean Lorrah
7940,Oscar Wilde
9321,Samuel Taylor Coleridge
8239,Paulo Coelho
798,Barbara Erskine
0,
7792,Nicholas Sparks
3844,Hans J. Alpers
4843,Jerome D. Salinger
4027,Hermann Hesse
9728,Stephen Chbosky
0,
10856,Wolfgang Hohlbein
6347,Linda Lael Miller
4551,Jane Feather
6498,Louis L'Amour
10806,William R. Forstchen
9651,Spider Robinson
2385,Dennis L. McKiernan
9218,Rush
6379,Lionel Fenn
1394,Carole Halston
1716,Christine Rimmer
0,
4121,Iain Banks
7520,Milan Kundera
10434,Truman Capote
10543,Vikram Seth
950,Beth Nimmo
5067,Johann Wolfgang Von Goethe
10226,Thomas Elsaesser
89,Adrian Plass
89,Adrian Plass
0,
89,Adrian Plass
3318,Frank Mccourt
0,
701,Arthur Golden
9781,Stephen Quirke
0,
1533,Charles Bukowski
4433,James Herbert
10820,William Sutcliffe
0,
0,
4687,Jean De Brunhoff
0,
8423,Philippe Fix
1822,Claudia Keller
3197,F. Paul Wilson
685,Arnold A. Lazarus
1812,Clarissa Pinkola Estés
10557,Virginia Allen Jensen
4644,JANOSCH
4644,Janosch
1769,Chuck Palahniuk
1769,Chuck Palahniuk
5245,John Paul Allen
0,
7455,Michel Tournier
4097,Hubert Jr Selby
0,
3461,Gary Larson
3438,Garrison Keillor
117,Al Franken
915,Berke Breathed
0,
2457,Dick Francis
9739,Stephen Fried
8051,Patricia C. Wrede
3564,George Stephanopoulos
8848,Rita Mae Brown
6507,Louisa May Alcott
1901,Cornelia Funke
9664,Stan Lee
0,
4444,James Kahn
8866,Robert A. Heinlein
568,Anne McCaffrey
6507,Louisa May Alcott
4463,James McBride
6501,Louis Sachar
568,Anne McCaffrey
568,ANNE MCCAFFREY
3100,Eric Van Lustbader
8875,Robert Asprin
553,Anne Frank
6987,Marshall Govindan
7863,Nomi Eve
1212,Bruce Catton
10755,William Gibson
1828,Clement Eaton
3809,H.G. Wells
10153,Terry Brooks
10153,Terry Brooks
0,
9767,Stephen King
6068,Larry McMurtry
9642,Sophie Kinsella
0,
